parameter,base_value,base_cost,cost_-20pct,abs_change_-20pct,rel_change_-20pct,cost_-10pct,abs_change_-10pct,rel_change_-10pct,cost_+10pct,abs_change_+10pct,rel_change_+10pct,cost_+20pct,abs_change_+20pct,rel_change_+20pct,sensitivity,sensitivity_std
airframe_labor_base_hours,6.7,1278.8298302846777,971.1213889038493,-307.7084413808284,-24.061719088327028,1124.9756095942635,-153.8542206904142,-12.030859544163508,1432.684050975092,153.85422069041442,12.03085954416354,1586.5382716655056,307.70844138082794,24.061719088326996,12.030859544163516,1.5688358818848954e-14
airframe_labor_weight_numerator_kg,350000.0,1278.8298302846777,1466.9337182798658,188.1038879951882,14.70906320298415,1372.8817742822716,94.05194399759398,7.354531601492065,1184.7778862870834,-94.05194399759421,-7.354531601492087,1090.7259422894892,-188.10388799518842,-14.709063202984174,7.354531601492079,9.251562474332635e-15
airframe_labor_weight_denominator_offset_kg,75000.0,1278.8298302846777,1078.590046179972,-200.23978410470568,-15.658047643456264,1188.3424713070042,-90.48735897767347,-7.075793575876332,1354.7153082327466,75.88547794806891,5.933977778042299,1419.2694640633106,140.43963377863292,10.981885975194206,6.582434540810967,0.9232060924701262
airframe_labor_time_coefficient,0.68,1278.8298302846777,1174.7087639314896,-104.1210663531881,-8.14190159530529,1226.7692971080837,-52.060533176593935,-4.070950797652639,1330.8903634612718,52.06053317659416,4.07095079765265,1382.9508966378658,104.1210663531881,8.141901595305278,4.070950797652643,4.824043605111779e-15
engine_k1_base,1.27,1278.8298302846777,1184.3994468762253,-94.43038340845237,-7.3841242339046325,1231.6146385804514,-47.2151917042263,-3.6920621169523216,1326.045021988904,47.2151917042263,3.6920621169523216,1373.2602136931305,94.43038340845283,7.384124233904665,3.692062116952323,5.9869748104514125e-15
engine_k2_opr_exponent,1.3,1278.8298302846777,1237.0742961707472,-41.75553411393048,-3.2651360740181823,1253.9373047707666,-24.892525513911096,-1.9465080438708426,1315.5752202182402,36.74538993356259,2.873360400529812,1369.8173532880633,90.9875230033856,7.114904645532949,2.502472201044055,0.760981358578173
airframe_labor_time_base_factor,0.8,1278.8298302846777,1220.1337914388375,-58.69603884584012,-4.589824029423362,1249.4818108617576,-29.34801942292006,-2.294912014711681,1308.1778497075975,29.348019422919833,2.2949120147116586,1337.5258691305175,58.696038845839894,4.5898240294233394,2.2949120147116724,9.206152481068433e-15
engine_material_thrust_exponent,0.8,1278.8298302846777,1238.679246434219,-40.15058385045859,-3.1396346018547905,1257.4565461561533,-21.373284128524347,-1.6713157311764038,1303.1579968050755,24.328166520397872,1.9023771532590938,1330.8495617833516,52.01973149867399,4.067760249781949,1.794347577563467,0.1834372582150792
airframe_labor_weight_coefficient,9e-05,1278.8298302846777,1235.6172784712896,-43.21255181338802,-3.379069739385776,1257.2235543779839,-21.60627590669378,-1.6895348696928658,1300.4361061913717,21.60627590669401,1.689534869692877,1322.0423820980654,43.21255181338779,3.379069739385754,1.689534869692877,7.850462293418876e-15
engine_labor_base_coefficient,0.17,1278.8298302846777,1239.8591060122062,-38.97072427247144,-3.0473737278865487,1259.3444681484418,-19.485362136235835,-1.5236868639432855,1298.3151924209133,19.485362136235608,1.5236868639432632,1317.8005545571489,38.970724272471216,3.0473737278865265,1.5236868639432717,9.206152481068433e-15
